INDICATOR,Units,Scale,2009,2010,2011,2012,2013,2014,2015,2016,2017,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025,2025 Q1,2025 Q2,2025 Q3,2025 Q4
Net incurrence of liabilities,US dollars,millions,444.9,398.53,297.861,452.774,727.678,1090.761881,950.019824,559.2607278,685.4447849,5.334203922,151.6647898,58.29904277,470.1467484,572.7293715,-56.5401952,134.8283938,17.93718391,476.5039889,256.1641882,-96.54307632,65.85229213,-89.53143087,376.3864032,-255.1545534,-115.6741848,-42.68468748,-75.96512465,-20.83055642,490.1642074,92.20711136,105.7515139,135.5045304,156.7010517,-636.686,-246.4184,-99.3502,-63.0786,-227.8388,42.94096,11.21992,231.51,-105.4312,-94.35776,-497.1321703,-117.80778,-133.3684698,-155.356816,-90.59910453,192.5,-221.5532104,12.13959,101.1861094,-17.7
Central bank,US dollars,millions,148.4,21.53,-12.42,43.38,1.81,167.2558814,-71.34608135,534.4641556,499.0905953,-6.5,-3.5,24.5,484.5905953,278.606586,-62.8483535,-59.8483535,-31.8483535,433.1516465,-357.9623435,-221.9905859,-218.9905859,-190.9905859,274.0094141,-245.5273633,-61.38184084,-61.38184084,-61.38184084,-61.38184084,78.39700852,19.59925213,19.59925213,19.59925213,19.59925213,-290.008,-62.894,-114.653,-41.779,-70.682,-193.09,-54.7,-83.3,-37.8,-17.29,-295.399848,-61.19518134,-74.95233333,-86.3,-72.95233333,-58.8,-74.05321044,-43.11041,-38.13889064,-208.3
Short-term,US dollars,millions,148.4,21.53,-12.42,43.38,1.81,167.2558814,-71.34608135,534.4641556,499.0905953,-6.5,-3.5,24.5,484.5905953,278.606586,-62.8483535,-59.8483535,-31.8483535,433.1516465,-357.9623435,-221.9905859,-218.9905859,-190.9905859,274.0094141,-245.5273633,-61.38184084,-61.38184084,-61.38184084,-61.38184084,78.39700852,19.59925213,19.59925213,19.59925213,19.59925213,-290.008,-62.894,-114.653,-41.779,-70.682,-193.09,-54.7,-83.3,-37.8,-17.29,-295.399848,-61.19518134,-74.95233333,-86.3,-72.95233333,-49.2,-74.05321044,-43.11041,-38.13889064,-130.9
General Government,US dollars,millions,1.8,0,106.031,85.956,112.18,-55.04,199.891,17.567,82.75359067,8.688207922,23.49682782,4.540650771,46.02790416,72.47742045,7.8296743,28.0237913,-1.18221859,37.80617344,148.6409646,31.85777155,44.460974,15.491399,56.8308201,180.6650518,8.98401901,11.58401901,19.82254901,140.2744648,-24.00944014,-10.29214077,-9.34773819,-0.77157456,-3.59798662,-104.23,-80.59,12.27,-2.01,-33.9,109.11,-59.29,347.3,-83.7,-95.2,-232.7381365,-81.8,-40.83813645,-68.3,-41.8,0,-39.3,-36.7,-26.4,0
Net incurrence of liabilities,US dollars,millions,67,63.09,10,99.2,114.2,130.3,122.8,-80.06134326,-100.8818193,-14.38115381,-14.47630118,-24.76649347,-47.25787084,-101.2655975,-26.65695795,-16.23597232,-44.40227036,-13.97039686,-53.91701869,-134.0075621,-37.38440596,13.92058937,103.55436,-81.6465261,-8.861094779,-13.61506107,-50.43223702,-8.738133229,-107.7067062,-17.36324946,-38.53755264,-7.956704628,-43.84919951,-93.7,-12.2,-20.3,-28.2,-33,-22.8,-7.9,-2.5,-6.4,-6,-22.6,-4.1,-1.8,-7.2,-9.5,0,-4.4,-13.7,-20.43303982,0
Other Investment,US dollars,millions,-434.0925595,-418.8438052,-368.1958496,-625.9774314,-987.3890373,-1154.666873,-844.4253768,-635.2548824,-904.5362255,2.231014188,-179.590063,38.4455093,-765.622686,-490.5518384,94.24911635,-262.0507794,12.82113783,-335.5713132,436.6570996,257.7115403,178.7553373,206.223891,-206.033669,621.6781536,103.6572033,210.2768643,204.5866498,103.1574362,-950.2825949,-83.05705877,207.72087,-997.81196,-77.13444607,-59.40197879,72.95718048,-481.4905219,363.8927179,-14.76135531,-105.0962659,89.71190833,-361.1906875,99.01929423,67.363219,130.0022075,6.157725637,116.4547259,122.317653,-114.927897,323.4,291.2540168,47.34728184,-20.20098402,-20.7
Other sectors,US dollars,millions,294.7,377,204.25,323.438,613.688,978.546,821.4749053,7.22957214,103.600599,3.145996,131.667962,29.258392,-60.471751,221.645365,-1.521516,166.652956,50.967756,5.546169,465.485567,93.589738,240.381904,85.967756,45.546169,-190.2922419,-63.27636298,7.113134343,-34.40583282,-99.7231804,435.776639,82.9,95.5,116.6768529,140.6997861,-242.448,-102.9344,3.0328,-19.2896,-123.2568,126.92096,125.20992,-32.49,16.0688,18.13224,31.00581417,25.18740137,-17.578,-0.756816,24.1532288,0,-108.2,91.95,165.725,0
O/w General Government,US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.8,0,0,0,232.8
Net Acquisition of Financial Assets,US dollars,millions,10.80744052,84.58432577,-31.43590125,2.64,66.22843246,-171.4478823,-125.4887872,-61.81988884,-31.43539218,-22.46934966,-15.01419597,-10.72791664,16.7760701,139.7097545,31.29558501,-34.02845799,36.10312312,106.3395044,366.1129259,-53.4571649,223.6616555,41.32885618,154.5795791,321.7891341,-18.84748384,173.1744708,104.9365783,62.52556879,520.5651226,18.59875347,302.3501038,96.63761375,102.9786516,-654.4146653,-152.4553287,-595.5164135,308.3290061,-214.7719291,-21.43355774,117.7024425,-85.70331993,-35.5012215,-17.93145877,-187.7638575,-115.3054047,43.14331275,-40.05809517,-75.54367033,131,83.14790704,71.30748051,189.6443155,-3
Other Sectors (Private sector),US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-972.2,0,0,0,-195.4
Net acquisition of financial assets,US dollars,millions,10.80744052,84.58432577,-31.43590125,2.64,66.22843246,-171.4478823,-125.4887872,-61.81988884,-31.43539218,-22.46934966,-15.01419597,-10.72791664,16.7760701,139.7097545,31.29558501,-34.02845799,36.10312312,106.3395044,366.1129259,-53.4571649,223.6616555,41.32885618,154.5795791,341.7891341,-14.84748384,177.6744708,110.4365783,68.52556879,545.5651226,22.59875347,307.8501038,103.1376138,111.9786516,-654.4146653,-152.4553287,-595.5164135,308.3290061,-214.7719291,-21.43355774,117.7024425,-85.70331993,-35.5012215,-17.93145877,-187.7638575,-115.3054047,43.14331275,-40.05809517,-75.54367033,972.2,83.14790704,71.30748051,189.6443155,195.4
Net incurrence of liabilities,US dollars,millions,0,104.8981309,38.89894834,175.8434314,325.9394698,-107.5428909,-231.0832344,-83.82573417,187.6560484,-30.03456777,12.91107722,-107.4724687,312.2520077,57.53222145,-6.41333614,93.19392762,5.34480138,-34.59317141,-326.7083619,-214.6256289,-20.94597385,-75.36360397,-15.77315522,-24.73446614,-2.8305023,10.08229398,-18.18494682,-13.80131099,44.68351013,13.44870088,-5.622280151,4.445043342,32.41204606,41.6733135,21.0058908,-14.67569164,7.514888134,27.82822621,40.72174817,16.77061412,43.97736753,-29.08931572,9.063082238,179.3661053,-3.655350373,60.05705665,-7.018932131,129.9833312,42.4,13.44710068,11.82060866,108.6591901,3.9
Net acquisition of financial assets,US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.2,0,0,0,247
O/W Currency and deposits,US dollars,millions,10.80744052,-20.31380516,-70.33484959,-173.2034314,-259.7110373,-63.90499148,105.5944472,22.00584533,-219.0914406,7.56521811,-27.92527319,96.74455208,-295.4759376,82.17753304,37.70892115,-127.2223856,30.75832174,140.9326758,692.8212878,161.168464,244.6076294,116.6924601,170.3527343,346.5236002,-16.01698154,163.0921768,123.1215252,76.32687978,475.8816125,5.150052591,307.9723839,92.19257041,70.56660558,-696.0879788,-173.4612195,-580.8407219,300.8141179,-242.6001553,-62.15530591,100.9318283,-129.6806875,-6.411905774,-26.994541,-367.1299628,-111.6500543,-16.9137439,-33.03916304,-205.5270015,0,69.70080636,59.48687184,80.98512534,0
Reserve assets,US dollars,millions,-270.05,17.19729814,-69.95529635,24.77413881,-100.7074209,17.97405926,84.52393224,-12.55692529,-35.99061166,-3.347580828,-8.942802963,-31.23310612,7.532878243,-93.66746692,-137.721627,5.852061164,-25.67746921,63.87956813,-35.31970442,34.60546923,82.27100055,-95.05942934,-57.13674486,-87.62807867,-69.12350294,109.0157712,-8.433157116,-119.0871898,840.8352326,95.64327367,114.782471,784.3789532,-153.9694653,-128.1269629,14.0683774,53.87299627,-342.6726632,146.6043266,-476.06,-396.49,277.43,-306.33,-50.67,471.5562971,93.02926114,235.6817007,-41.90944558,184.7547809,0,103.526,109.1277029,158.4487998,0
Short-term,US dollars,millions,257,196.9,9.25,146.585,-30.68505,857,198.0391359,60.36003393,74.6354346,1.870772693,102.1586128,18.5628131,-47.95676397,212.3460777,-10.48114512,149.9598287,51.74727464,21.12011956,341.6808736,56.35705662,192.4564228,56.74727464,36.12011956,400.4668238,89.10690594,138.7797276,110.9292971,61.65089321,388.9,87,89.7,102.6768529,109.5231471,-372.8688,-120.36064,-52.68032,-68.57376,-131.25408,118.16144,61.26192,-20.414,5.84128,71.47224,-14.17078823,4.401401368,-3.3031,-10.6200896,-4.649,0,-72.18,35.92738247,117.9487217,0
Long-term,US dollars,millions,37.7,180.1,195,176.853,644.37305,121.546,623.4357694,-53.13046179,28.9651644,1.275223307,29.50934923,10.6955789,-12.51498703,9.299287264,8.959629119,16.69312735,-0.77951864,-15.57395056,123.8046934,37.23268138,47.92548122,29.22048136,9.426049437,-590.7590656,-152.3832689,-131.6665932,-145.3351299,-161.3740736,46.876639,-4.1,5.8,14,31.176639,130.4208,17.42624,55.71312,49.28416,7.99728,8.75952,63.948,-12.076,10.22752,-53.34,45.1766024,20.786,-14.2749,9.8632736,28.8022288,0,-36.02,56.02261753,47.77627827,0
"Insurance, pension, and standardized guarantee schemes",US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.2,0,0,0,-247
Trade credit and advances,US dollars,millions,0,0,0,0,0,0,0,0,499.1,0,0,0,0,278.6,-14.5,-16,-17.5,-19,-358,-10,-15,-18,-20,-245.5,-10,-12,-15,-20,78.4,-28,-29,-30,-31,-290,0,0,0,0,-193.1,0,0,0,0,-295.4,0,0,0,0,-174.4,0,0,0,-19.1
Other accounts receivable/payable,US dollars,millions,0,0,0,0,0,0,0,0,499.1,0,0,0,0,278.6,-3.9,-5,-6.2,-6.5,-358,-5,-5,-5,-5,-245.5,-5,-6,-7,-9,78.4,-13,-14,-15,-16,-290,0,0,0,0,-193.1,0,0,0,0,-295.4,0,0,0,0,-174.4,0,0,0,-19.1
Special drawing rights (Net incurrence of liabilities),US dollars,millions,420,0,0,0,0,0,0,98,82.8,0,0,0,0,72.5,0,0,0,0,148.6,0,0,0,0,180.7,0,0,0,0,-24,0,0,961,0,-104.2,0,0,0,0,109.1,0,0,0,0,-232.7,0,0,0,0,-122,0,0,0,-19.6
D. Net Errors and Omissions,US dollars,millions,-956.6906358,837.0438642,1611.447309,489.8058165,822.3932535,224.6232428,-83.65434632,-455.636044,-1098.432206,39.86637503,-6.350328343,-95.72949668,-1036.218756,242.1290616,325.2051574,39.12634129,129.5987852,-251.8012223,-1040.715693,121.9511884,239.5658971,-286.6655615,-1115.567217,-516.3277236,-198.0879953,123.9435805,-207.3536798,-234.829629,-915.3965873,271.9582282,-21.13369207,-493.3791875,-672.841936,-1006.015675,-210.7472785,-818.9120638,0.691414404,10.95225305,-1516.729734,-409.6436936,-340.3418252,-496.2825228,-270.4616928,-548.2489629,-139.4004169,154.4987265,23.07373628,-586.4210087,0,194.2810943,-375.1690658,-1034.193759,0
