INDICATOR,Units,Scale,2009,2010,2011,2012,2013,2014,2015,2016,2017,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025,2025 Q1,2025 Q2,2025 Q3,2025 Q4
Balance on Primary Income,US dollars,millions,-132.6807534,-150.1218876,-246.2941486,-290.1365809,-290.3187457,-340.7647299,-366.0944294,-395.2574788,-387.4572668,-95.44394984,-92.4674373,-95.48041698,-104.0654626,-311.173636,-94.27695771,-70.85301202,-64.84294217,-81.20072411,-338.8055225,-96.49485923,-68.13845451,-98.14209388,-76.03011492,-472.9222148,-102.8909105,-84.46377449,-120.1337164,-165.4338134,-655.7012135,-229.0244583,-97.88827807,-160.0570456,-168.7314316,-623.8880459,-233.5963934,-99.82849726,-118.368485,-172.0946703,-435.3011769,-94.92955336,-144.9004628,-85.23285089,-110.2383098,-478.1437326,-97.91417643,-97.33767031,-148.5947757,-134.2971102,-568.9,-129.6969828,-168.3444041,-144.2770257,-167.4
Credits,US dollars,millions,3.028307051,3.123340024,9.265244036,7.043856222,4.113836619,3.501363439,3.431053959,3.332719849,3.9302508,0.85605016,1.0325627,0.898470224,1.143167716,7.78252593,1.628605186,1.997131483,1.97104726,2.185742001,15.32892138,1.23974047,2.057045427,10.73824183,1.29389365,7.4740369,1.81086733,1.70353116,2.85382371,1.1058147,6.504794621,0.855409198,1.754637095,2.755759188,1.138989141,6.699938459,0.881071473,1.807276208,2.838431963,1.173158815,6.900936613,0.907503618,1.861494494,2.923584922,1.20835358,11.56572768,3.487020035,3.652940839,3.181162618,1.244604187,11.9,3.591630636,3.762529064,3.276597497,1.3
o/w Compensation of Employees,US dollars,millions,2.298303,2.657611362,7.606724495,5.003449053,2.695552104,2.956620419,2.956620419,2.956620419,3.4,0.75,0.9,0.75,1,3.502,0.7725,0.927,0.7725,1.03,3.60706,0.795675,0.95481,0.795675,1.0609,3.7152718,0.81954525,0.9834543,0.81954525,1.092727,3.826729954,0.844131608,1.012957929,0.844131608,1.12550881,3.941531853,0.869455556,1.043346667,0.869455556,1.159274074,4.059777808,0.895539222,1.074647067,0.895539222,1.194052297,4.181571142,0.922405399,1.106886479,0.922405399,1.229873865,4.3,0.950077561,1.140093073,0.950077561,1.3
Dividends,US dollars,millions,0.730004051,0.465728662,1.658519541,2.040407169,1.418284515,0.54474302,0.47443354,0.37609943,0.5302508,0.10605016,0.1325627,0.148470224,0.143167716,4.28052593,0.856105186,1.070131483,1.19854726,1.155742001,11.72186138,0.44406547,1.102235427,9.94256683,0.23299365,3.7587651,0.99132208,0.72007686,2.03427846,0.0130877,2.678064667,0.01127759,0.741679166,1.91162758,0.013480331,2.758406607,0.011615918,0.763929541,1.968976407,0.013884741,2.841158805,0.011964395,0.786847427,2.0280457,0.014301283,7.384156536,2.564614636,2.54605436,2.258757219,0.014730322,7.6,2.641553075,2.622435991,2.326519936,0
Balance on Secondary Income,US dollars,millions,1190.625582,1401.541491,1899.163919,2094.103653,1868.235148,1879.514375,2020.06147,1827.451827,1697.35193,447.9442405,415.3333185,433.3075345,400.7668364,1395.583292,388.0604166,358.4541682,321.4716471,327.5970601,1390.707984,331.2211586,337.9262206,336.6295708,384.9310335,1795.188358,470.5453138,318.0695341,453.073708,553.4998018,2532.963826,494.6151563,656.504965,664.180291,717.6634143,3043.929977,672.2385629,810.8966244,776.5101327,784.2846572,3259.503373,732.6062598,788.126823,843.6209561,895.1493341,3443.060622,809.6122016,799.4694515,901.7661339,932.212835,580.8,750.0939254,757.3281394,871.1584133,168.7
Debits,US dollars,millions,135.7090604,153.2452276,255.5593926,297.1804371,294.4325823,344.2660933,369.5254834,398.5901987,391.3875176,96.3,93.5,96.3788872,105.2086303,318.9561619,95.9055629,72.8501435,66.81398943,83.38646611,354.1344439,97.7345997,70.19549994,108.8803357,77.32400857,480.3962517,104.7017778,86.16730565,122.9875401,166.5396281,662.2060082,229.8798675,99.64291516,162.8128048,169.8704207,630.5879844,234.4774649,101.6357735,121.2069169,173.2678291,442.2021135,95.83705698,146.7619573,88.15643582,111.4466634,489.7094603,101.4011965,100.9906111,151.7759383,135.5417144,13.4,133.2886134,172.1069332,147.5536232,4.8
o/w Compensation of Employees,US dollars,millions,8.559307801,9.021510423,9.445521412,9.889460919,10.35426558,10.84091606,11.35043912,13.84487112,14.1,3.2,3.5,4,3.4,19.51415932,3.19323495,2.69179004,2.23595587,11.39317846,5.90751157,1.4067565,1.17294758,0.90690365,2.42090384,9.52089908,2.46782763,1.23356669,1.92709816,3.8924066,11.19843709,0.7808633,1.8832166,4.56410246,3.970254732,8.683242475,0.796480566,1.920880932,1.91622115,4.049659827,18.78796321,2.16802828,2.78391498,9.92149056,3.914529388,5.595250665,1.128788004,1.14429233,1.655963471,1.666206861,309.8,1.18993808,2.70591368,4.72580311,94.2
Dividends,US dollars,millions,10.981011,30.60288,128.059422,165.568027,142.424718,133.5582085,148.1205951,154.9908783,158.7155488,35.1,42,39.6788872,41.93666161,76.49859451,33.55232795,21.19835346,10.82403356,10.92387954,120.8246561,35.9846432,19.08335236,53.14435206,12.61230845,231.1553912,40.68388616,26.22611537,65.13478034,99.11060933,406.4932104,166.3179389,37.8779225,101.2045275,101.0928215,372.5000941,169.6442977,38.63548095,61.10563744,103.1146779,169.0214095,28.35160838,81.67704253,18.88618576,40.10657286,220.8177229,32.66887843,35.36478401,88.69400874,64.09005171,257.6,82.21144504,92.633108,89.69605819,69.8
Interest,US dollars,millions,116.1687416,113.6208372,118.0544492,121.7229492,141.6535987,199.8669687,210.0544492,229.7544492,218.5719687,58,48,52.7,59.87196874,222.9434081,59.16,48.96,53.754,61.06940811,227.4022763,60.3432,49.9392,54.82908,62.29079628,239.7199614,61.550064,58.70762359,55.9256616,63.5366122,244.5143606,62.78106528,59.88177606,57.04417483,64.80734445,249.4046478,64.03668659,61.07941158,58.18505833,66.10349133,254.3927408,65.31742032,62.30099981,59.3487595,67.42556116,263.2964867,67.60353003,64.48153481,61.42596608,69.7854558,3407.1,49.88723027,76.76791147,53.13176186,952.2
Credits,US dollars,millions,1203.358646,1410.591045,1911.869278,2108.576219,1887.575921,1901.014231,2043.623186,1853.07831,1726.483817,455.1839376,421.3433192,440.4945309,409.4620298,1424.201019,394.6309984,365.2374096,328.519125,335.8134865,1413.404893,336.8251452,343.2382943,342.2417888,391.0996646,1828.324109,476.4995755,324.71464,462.7219442,564.3879495,2569.800156,503.5968772,663.2748455,674.088294,728.8401391,3081.101889,681.5545475,817.8472937,785.9421928,795.7578552,3297.207986,741.7388501,797.4413313,856.3898281,901.6379763,3505.713502,824.3574043,814.6956944,917.692063,948.9683406,3479.4,766.0830486,774.3380455,889.6194179,970.7
Net incurrence of liabilities,US dollars,millions,105,122.5866667,344.3,349.85,373.05,472.8,399.2,343.0138134,307.1877388,49.25415914,92.61360312,70.69335074,94.62662579,413.8573794,78.82075802,103.0639108,137.3981301,94.57458049,249.6733698,68.54159135,57.31360312,54.2335074,69.58466794,150.4617681,42.04941412,33.04558503,36.29206884,39.07470008,237.4803678,48.08036776,54.5,64.4,70.5,336.761,59.8,135.1,67.451,74.41,604.196,137.7,150.296,152.9,163.3,465.433,54.3,162.962,93.371,154.8,-9.6,191.43,245.557,339.777,-77.3
Portfolio Investment,US dollars,millions,-67,-63.09,-10,-99.2,-114.2,-130.3,-122.8,80.06134326,100.8818193,14.38115381,14.47630118,24.76649347,47.25787084,101.2655975,26.65695795,16.23597232,44.40227036,13.97039686,53.91701869,134.0075621,37.38440596,-13.92058937,-103.55436,81.6465261,8.861094779,13.61506107,50.43223702,8.738133229,107.7067062,17.36324946,38.53755264,7.956704628,43.84919951,105.7,12.2,20.3,28.2,33,22.8,7.9,2.5,6.4,6,22.6,4.1,1.8,7.2,9.5,542.5,4.4,13.7,20.43303982,131.8
Personal Transfers,US dollars,millions,554.7586456,661.9910454,1029.569087,1164.003431,1104.328073,1166.014231,1253.223186,1102.77831,1013.367658,271.9935698,250.829851,261.2902969,229.2539398,897.9021043,236.3847045,231.41996,213.5089043,216.5885355,921.7265246,215.7022923,216.9902065,225.1676649,263.8663609,1209.718045,276.9642348,211.1223468,325.5342346,396.0972283,1643.146919,345.8395897,401.051122,428.4929003,467.763307,1970.632712,446.1808303,491.1430228,506.1351679,527.1736906,2162.409806,504.0113957,515.1706057,565.8898281,577.3379763,2575.296196,593.1587869,610.0657507,668.3982989,703.6733592,2936.9,614.7416635,645.9773058,758.6114794,838.9
Transfers to NPISHs,US dollars,millions,648.6,748.6,882.3001907,944.5727878,783.2478483,735,790.4,750.3,713.11616,183.1903679,170.5134682,179.2042339,180.20809,526.2989151,158.2462939,133.8174496,115.0102206,119.224951,491.6783682,121.1228529,126.2480878,117.074124,127.2333036,618.6060646,199.5353407,113.5922932,137.1877096,168.2907211,926.6532367,157.7572875,262.2237234,245.5953937,261.0768321,1110.469178,235.3737172,326.7042709,279.8070248,268.5841646,1134.79818,237.7274544,282.2707256,290.5,324.3,930.4173065,231.1986173,204.6299437,249.2937641,245.2949814,72.3,151.3413851,128.3607397,131.0079385,18.5
Net Lending(+)/Net Borrowing(-)(Balance from FA),US dollars,millions,-1296.142559,-587.3231737,-792.4511459,-1050.253293,-1575.346458,-1739.792814,-1281.901445,-910.7642778,-1145.89808,-35.39697446,-266.5696034,-38.57119658,-805.3603052,-906.1174403,-97.35397073,-345.2363497,-108.5191911,-355.0079287,194.2746911,355.5653203,238.3874477,39.8433649,-439.5214417,461.7348329,0.545380978,299.1621115,209.3936609,-47.36632041,-236.7210238,-17.1309034,305.3408936,-266.3763022,-258.5547118,-418.5899417,39.42555787,-542.4175256,-18.03094522,90.43297128,-1162.552266,-436.5780917,-231.5566875,-353.8107058,-140.606781,158.7255046,48.98698678,190.9744266,-5.762792627,-75.47311612,153.8,207.7500168,-75.38201527,-181.0961444,29.7
Direct Investment,US dollars,millions,-105,-122.5866667,-344.3,-349.85,-373.05,-472.8,-399.2,-343.0138134,-306.2530618,-48.66156164,-92.51303862,-70.55009324,-94.52836829,-423.1637324,-80.53841802,-105.2736038,-140.0651301,-97.28658049,-260.9797228,-70.75925135,-60.02329612,-57.4005074,-72.79666794,-153.9617681,-42.84941412,-33.74558503,-37.19206884,-40.17470008,-234.9803678,-47.08036776,-55.7,-60.9,-71.3,-336.761,-59.8,-135.1,-67.451,-74.41,-604.196,-137.7,-150.296,-152.9,-163.3,-465.433,-54.3,-162.962,-93.371,-154.8,153.8,-191.43,-245.557,-339.777,29.7
Credits,US dollars,millions,391,231,345.6,737.5,251,369.4,398.4,242.3,223.7254951,40.04163117,61.43469978,72.1539426,50.09522155,231.3916851,57.84792127,57.84792127,57.84792127,57.84792127,314.5305572,80.25739728,81.38605913,77.44355038,75.44355038,299.6842635,59.69077003,79.39077003,101.7158634,58.88686003,330.4601274,77.3550623,57.1973699,92.5011496,103.4065456,282.46,62.2,66.6,62.7,90.96,220.3,51.8,57.6,55.5,55.4,205.7737,36.1806,73.1931,55.7,40.7,0,33.13557856,29.09133126,61.8784209,0
Debits,US dollars,millions,12.73306364,9.049554355,12.70535864,14.47256516,19.34077335,21.49985646,23.56171601,25.62648295,29.13188756,7.239697124,6.010000712,7.186996352,8.695193368,28.61772744,6.570581831,6.783241398,7.047477838,8.216426368,22.69690936,5.60398657,5.31207364,5.612218082,6.16863107,33.13575146,5.954261634,6.64510593,9.64823622,10.88814768,36.83632924,8.981720907,6.76988049,9.908003014,11.17672483,37.17191186,9.315984592,6.950669278,9.432060036,11.47319795,37.70461303,9.132590327,9.314508365,12.76887207,6.488642267,62.65288016,14.74520265,15.22624286,15.92592913,16.75550553,0,15.98912323,17.00990611,18.46100459,0
B. Capital Account,US dollars,millions,391,231,345.6,737.5,251,369.4,398.4,242.3,223.7254951,40.04163117,61.43469978,72.1539426,50.09522155,231.3916851,57.84792127,57.84792127,57.84792127,57.84792127,314.5305572,80.25739728,81.38605913,77.44355038,75.44355038,299.6842635,59.69077003,79.39077003,101.7158634,58.88686003,330.4601274,77.3550623,57.1973699,92.5011496,103.4065456,282.46,62.2,66.6,62.7,90.96,220.3,51.8,57.6,55.5,55.4,205.7737,36.1806,73.1931,55.7,40.7,0,33.13557856,29.09133126,61.8784209,0
Debits,US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973.4,0,0,0,850.7
Net acquisition of financial assets,US dollars,millions,0,0,0,0,0,0,0,0,0.934677,0.5925975,0.1005645,0.1432575,0.0982575,-9.306353,-1.71766,-2.209693,-2.667,-2.712,-11.306353,-2.21766,-2.709693,-3.167,-3.212,-3.5,-0.8,-0.7,-0.9,-1.1,2.5,1,-1.2,3.5,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.4,0,0,0,-3.9
Loans,US dollars,millions,-444.9,-398.53,-297.861,-452.774,-727.678,-1090.761881,-950.019824,-559.2607278,-685.4447849,-5.334203922,-151.6647898,-58.29904277,-470.1467484,-572.7293715,56.5401952,-134.8283938,-17.93718391,-476.5039889,-256.1641882,96.54307632,-65.85229213,89.53143087,-376.3864032,275.1545534,119.6741848,47.18468748,81.46512465,26.83055642,-465.1642074,-88.20711136,-100.2515139,-129.0045304,-147.7010517,636.686,246.4184,99.3502,63.0786,227.8388,-42.94096,-11.21992,-231.51,105.4312,94.35776,497.1321703,117.80778,133.3684698,155.356816,90.59910453,547.7,221.5532104,-12.13959,-101.1861094,229.3
Net Incurrence of Liabilities,US dollars,millions,444.9,503.4281309,336.7599483,628.6174314,1053.61747,983.2189905,718.9365895,573.4349936,873.1008333,-24.70036385,164.575867,-49.17342595,782.3987561,630.2615929,-62.95353134,228.0223214,23.28198529,441.9108175,-70.54417375,-311.1687052,44.90631828,-164.8950348,360.613248,-279.8890195,-118.5046871,-32.60239351,-94.15007147,-34.63186741,1495.847718,105.6558122,100.1292338,1100.949574,189.1130977,-595.0126865,-225.4125092,-114.0258916,-55.56371187,-200.0105738,83.66270817,27.99053412,275.4873675,-134.5205157,-85.29467776,-317.7660649,-121.4631303,-73.31141314,-162.3757481,39.38422666,323.4,-208.1061098,23.96019866,209.8452995,-20.7
Net Lending(+)/Net Borrowing(-)(Balance from CA & KA),US dollars,millions,-339.4519236,-1424.367038,-2403.898455,-1540.059109,-2397.739712,-1964.416056,-1198.247098,-455.1282338,-47.46587394,-75.26334949,-260.2192751,57.1583001,230.8584505,-1148.246502,-422.5591281,-384.362691,-238.1179763,-103.2067063,1234.990384,233.6141319,-1.178449402,326.5089264,676.0457749,978.0625565,198.6333763,175.2185309,416.7473407,187.4633086,678.6755635,-289.0891316,326.4745857,227.0028853,414.2872242,587.4257332,250.1728364,276.4945382,-18.72235962,79.48071823,354.1774685,-26.93439809,108.7851377,142.471817,129.8549118,706.9744675,188.3874037,36.4757001,-28.8365289,510.9478926,0,13.46892253,299.7870505,853.0976151,0
O/W Other equity,US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,0,0,-249.9
Net acquisition of financial assets,US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,4.5,5.5,6,25,4,5.5,6.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central bank,US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,4.5,5.5,6,25,4,5.5,6.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net acquisition of financial assets,US dollars,millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
